profit,is_bad,is_poor,is_fine,is_good,is_excellent,year,budget,run_time,rating,open_theater_count,release,is_A24,is_Drama,is_Comedy,is_Thriller,is_Action,is_Adventure,is_Sci-Fi
33.729845,0,0,1,0,0,2021,5.0,108,7.3,2301.649025,20210219,0,1,0,0,0,0,0
20.612774,0,0,1,0,0,2021,25.0,108,7.1,2301.649025,20211022,0,1,1,0,0,0,0
20.831182,0,0,1,0,0,2021,10.0,99,5.1,2301.649025,20210402,0,1,0,1,0,0,0
38.48422,0,0,1,0,0,2021,15.0,88,5.7,2815.0,20210716,0,0,0,1,1,1,1
391.600379,0,0,0,0,1,2021,110.0,97,5.9,2301.649025,20211001,0,0,0,1,1,0,1
-2.030565,0,1,0,0,0,2021,2.3,105,6.1,816.0,20211029,0,1,0,0,0,0,0
129.334455,0,0,0,1,0,2021,75.0,124,7.1,2301.649025,20211119,0,0,1,0,0,1,1
1686.306016,0,0,0,0,1,2021,200.0,148,6.447046414,2301.649025,20211214,0,0,0,0,0,0,0
107.654652,0,0,0,1,0,2021,45.0,93,6.2,2301.649025,20210611,0,1,1,0,0,1,0
32.206987,0,0,1,0,0,2021,15.0,99,6.0,3005.0,20210813,0,0,0,1,1,0,0
16.85134,0,0,1,0,0,2021,25.0,107,5.2,2301.649025,20211124,0,0,0,0,1,0,1
-18.531469,0,1,0,0,0,2021,25.0,131,6.0,2301.649025,20211225,0,1,0,0,0,0,0
-8.524512,0,1,0,0,0,2021,9.0,116,5.7,1197.0,20211210,0,1,0,0,0,0,0
63.966489,0,0,1,0,0,2021,40.0,119,7.1,2301.649025,20210507,0,0,0,1,1,0,0
510.839661,0,0,0,0,1,2021,250.0,163,7.3,4407.0,20211008,0,0,0,1,1,1,0
73.070891,0,0,1,0,0,2021,75.0,158,6.6,2301.649025,20211124,0,1,0,0,0,0,0
-7.481345,0,1,0,0,0,2021,40.0,133,7.1,4.0,20211225,0,1,1,0,0,0,0
-22.117177,0,1,0,0,0,2021,55.0,145,6.6,2301.649025,20210813,0,1,0,0,0,0,0
72.664632,0,0,1,0,0,2021,47.0,93,5.4,4207.0,20211001,0,0,1,0,0,1,0
-24.007657,0,1,0,0,0,2021,30.0,124,6.4,2301.649025,20220225,0,1,0,0,0,0,0
